com.samsung.health.food_info,6307003,7
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
,,,,,"250 kcal, Per 1 serving",,fatsecret-19370047,6,,1.0,6.0,2019-09-05 02:31:16.608,2019-09-05 02:31:16.608,,46.0,,,Sirloin Steak (6 oz)(Texas Roadhouse),,,,250.0,serving,,1nlD1Z6VIo,oz,,,com.sec.android.app.shealth,3.0,,1d28251b-5b7c-47fe-a582-b94f0c5dc4ad,1,
0.0,0.0,0.0,,0.0,"240 kcal, Per 1 bottle",,fatsecret-607827,20,70.0,0.0,0.0,2019-09-05 02:31:16.611,2019-09-05 02:31:16.611,0.0,0.0,0.0,0.0,Pibb Xtra (20 oz)(Coca-Cola),64.0,,0.0,240.0,serving,,1nlD1Z6VIo,oz,0.0,0.0,com.sec.android.app.shealth,65.0,,f9eae7de-a3c4-408f-8e92-74a0008e8ab9,1,
0.0,0.0,0.0,,0.0,"125 kcal, Per 1 1/2 tbsp",,fatsecret-664542,0,0.0,0.0,12.0,2019-09-05 02:31:16.609,2019-09-05 02:31:16.609,0.0,0.0,0.0,0.0,Cinnamon Butter(Texas Roadhouse),0.0,,0.0,125.0,serving,,1nlD1Z6VIo,,0.0,0.0,com.sec.android.app.shealth,5.0,,fe315033-94dd-4bb6-8082-fa3d1e3f6391,1,
422.0,2.0,17.0,,0.0,"89 kcal, Per 100g",,fatsecret-5388,118,1.0,3.1,0.39,2019-09-05 02:31:40.004,2019-09-05 02:31:40.004,0.038,1.29,0.086,2.0,Banana,14.43,,1.0,105.0,medium (7" to 7-7/8" long),,1nlD1Z6VIo,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,01f60f05-48fb-4240-b700-2661082b00ef,1,
508.0,0.0,28.0,,0.0,"121 kcal, Per 132g",,fatsecret-5721,131,376.0,2.0,0.13,2019-09-11 00:00:15.739,2019-09-11 00:00:15.739,0.003,2.55,0.057,3.0,Baked Potato (Peel Not Eaten),2.21,,1.0,121.0,"medium (2-1/4"" to 3"" dia, raw)",,1nlD1Z6VIo,g,0.034,,com.sec.android.app.shealth,28.02,1.0824742,95306651-bafa-4c58-a511-f17d491b6941,1,
,20.0,6.0,,85.0,"660 kcal, Per 1 milkshake",,fatsecret-86531,16,510.0,1.0,31.0,2019-09-11 00:01:57.235,2019-05-06 21:34:35.809,,16.0,,15.0,Cookies & Cream Milkshake (Large)(Chick-fil-A),89.0,,50.0,660.0,serving,,1nlD1Z6VIo,oz,15.0,0.0,com.sec.android.app.shealth,94.0,,79e73ac0-02e9-4eab-b73e-7744749ba953,1,
148.0,1.0,11.0,,0.0,"52 kcal, Per 100g",,fatsecret-35718,138,1.0,3.3,0.23,2019-09-11 00:14:03.975,2019-09-11 00:14:03.975,0.01,0.36,0.07,1.0,Apples,14.34,,1.0,72.0,medium (2-3/4" dia) (approx 3 per lb),,1nlD1Z6VIo,g,0.039,,com.sec.android.app.shealth,19.06,1.9230769,93e98980-b028-46a2-8c08-55c8594621b5,1,
,0.0,2.0,,30.0,"440 kcal, Per 1 biscuit",,fatsecret-43234,0,1250.0,5.0,20.0,2019-09-11 00:01:57.261,2019-09-11 00:01:57.261,,16.0,,15.0,Chicken Biscuit(Chick-fil-A),5.0,,8.0,440.0,serving,,1nlD1Z6VIo,,8.0,0.0,com.sec.android.app.shealth,48.0,,cf71ce6d-3fa7-4fc8-964e-da2b8f9b2b1f,1,
0.0,0.0,0.0,,0.0,"250.0 kcal, 1",,quickinput-4d4ec477-ba2d-4159-8110-6fcfc341e1f9,1,0.0,0.0,0.0,2019-09-11 00:01:08.297,2019-05-07 22:19:05.215,,0.0,,0.0,Butter,0.0,,0.0,250.0,serving,,1nlD1Z6VIo,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,145169f9-75d3-412a-b632-bffa0de185cc,1,
0.0,0.0,0.0,,0.0,"400.0 kcal, 1",,quickinput-7b666acd-1fcb-4419-a20f-7b25ea95111f,1,0.0,0.0,0.0,2019-09-12 23:03:56.571,2019-09-12 23:03:49.406,,0.0,,0.0,Dinner,0.0,,0.0,400.0,serving,,1nlD1Z6VIo,120001,0.0,0.0,com.sec.android.app.shealth,0.0,1.0,c7b9e8bd-9a6d-4dc2-aa70-63655e394946,1,
234.0,0.0,0.0,,70.0,"271 kcal, Per 100g",,fatsecret-40407,77,58.0,0.0,13.72,2019-09-11 00:00:15.740,2019-09-11 00:00:15.740,6.082,19.83,0.398,11.0,"Ground Beef (80% Lean / 20% Fat, Patty, Cooked, Broiled)",0.0,,2.0,209.0,patty,,1nlD1Z6VIo,g,5.21,0.958,com.sec.android.app.shealth,0.0,0.36842105,9dad6048-0150-4e38-9a64-6865987a1c8e,1,
,6.0,0.0,,25.0,"110 kcal, Per 1/4 cup",,fatsecret-84680,28,180.0,0.0,9.0,2019-09-11 00:01:08.358,2019-09-11 00:01:08.358,,6.0,,0.0,Finely Shredded Mild Cheddar Cheese(Kraft),0.0,,20.0,110.0,serving,,1nlD1Z6VIo,g,6.0,,com.sec.android.app.shealth,1.0,0.25454545,48b9859e-3984-4969-a18d-562dc54ce3eb,1,
31.0,0.0,0.0,,0.0,"293 kcal, Per 100g",,fatsecret-3423,24,142.0,0.6,0.96,2019-09-16 17:02:29.056,2019-01-14 21:12:53.762,0.191,2.16,0.502,4.0,Toasted Bread,1.14,,3.0,70.0,regular slice,,1nlD1Z6VIo,g,0.139,,com.sec.android.app.shealth,13.06,0.34,f2d496c8-401b-4664-82e0-3b90a91c1227,1,
