com.samsung.shealth.program.sleep_coaching.mission,6307003,3
create_sh_ver,answer,priority,modify_sh_ver,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
62660010,null,10,62660010,2024-04-15 22:45:56.141,2024-04-15 22:45:56.141,2,9,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,68cc102c-7bdb-40a6-93f1-994189acbb3a,0,
62660010,null,11,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,9,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,37512edd-0253-490d-824a-4971129e9c41,0,
62660010,null,3,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,9,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c8072080-0fbb-4834-8de6-c83ddc6869a8,0,
62660010,null,5,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,9,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,9fe15944-3212-4b3b-88cd-25325dd0b7bd,0,
62660010,null,6,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,9,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,c4345826-d657-472f-b2bf-87feedc8c2a4,0,
62660010,null,9,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,9,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,d5705e03-d030-49c5-bd5a-488a8057b9aa,0,
62660010,null,2,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,5717b4c2-1658-4d0c-86d6-372d0b9c98d7,0,
62660010,null,10,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,e454bf5c-1c07-44be-ada0-dca0c069f5a1,0,
62660010,null,11,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,f17dec45-12d7-43a6-8e67-3a580b8687a4,0,
62660010,null,3,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,b722cc29-3ff9-447d-a191-63789371df83,0,
62660010,null,5,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,f8637ff6-0d58-4ddf-b2f6-bfa8791de488,0,
62660010,null,6,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,f4022a76-4856-4593-b4b9-f0464329fbf4,0,
62660010,null,9,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,10,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,926cc372-00c8-4456-a991-6db3603e5665,0,
62660010,null,2,62660010,2024-04-27 22:00:06.833,2024-04-15 22:45:56.142,2,11,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,6c081639-e527-48ae-aae9-19a62bde9e8f,3,
62660010,null,10,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,11,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,83414aa6-4a98-4b3f-9f5c-7e084d178b91,0,
62660010,null,11,62660010,2024-04-28 03:43:45.518,2024-04-15 22:45:56.142,2,11,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,5dd7a176-f9de-4951-92f9-4770441c5440,3,
62660010,null,3,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,11,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,7d1cff0f-cfd7-4316-8f54-bde03f6e6c38,0,
62660010,null,5,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,11,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,a38fe61b-dee8-48c3-aa66-3cbb0f613211,0,
62660010,null,6,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,11,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,5f635941-64a5-42b3-bfd8-baff73b51004,0,
62660010,null,9,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,11,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,789d3702-87f3-49a9-ac0f-0a508fa102ca,0,
62660010,null,2,62660011,2024-04-27 11:01:36.832,2024-04-15 22:45:56.142,2,12,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,86d45d2c-3300-4ff4-a4e7-b22ee7efcc27,1,
62660010,null,10,62660010,2024-04-15 22:45:56.142,2024-04-15 22:45:56.142,2,12,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,2df75121-76f2-4f8a-8149-16bacfa11db9,0,
62660010,null,11,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,12,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,db5288a8-8b19-4fa3-a69f-dc9fc68ecabd,0,
62660010,null,3,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,12,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,098f298f-38a0-4b6e-bff0-7448720b1437,0,
62660010,null,5,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,12,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,7fbfb71c-c2d5-4e8a-ad37-ed722ad59fad,0,
62660010,null,6,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,12,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,ffd83130-192d-4544-bce7-b2a4f9332c0e,0,
62660010,null,9,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,12,HB_09,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,f1a6a45b-d7f7-44be-94ef-ef6fce140ff7,0,
62660010,null,2,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_02,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,d929ee74-a252-49e4-86c4-d60b6c71fc07,0,
62660010,null,10,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_10,OKVbQxqZP/,com.sec.android.app.shealth,1,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,34fe01e0-de16-45ca-ba09-6f3adc640e31,0,
62660010,null,11,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_11,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,7eb656c4-7f52-4bf5-bdbb-38a354acb720,0,
62660010,null,3,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_03,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,e26dc993-dba8-448a-9c4b-92b8611a08f1,0,
62660010,null,5,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_05,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,18ecccc8-98af-45f5-a0a5-4b290765e2c6,0,
62660010,null,6,62660010,2024-04-15 22:45:56.143,2024-04-15 22:45:56.143,2,13,HB_06,OKVbQxqZP/,com.sec.android.app.shealth,0,2a91cfad-9c2b-43e4-b322-f97f06fd1ff4,db9061b6-add0-4f29-a653-9b95657e444e,0,
