com.samsung.shealth.cycle.daily_temperature.raw,6307003,2
start_time,custom,hr_rri,update_time,create_time,temperature,time_offset,deviceuuid,pkg_name,tracked_by,end_time,datauuid
2024-05-10 03:12:00.000,,81e7ec70-9e23-48b4-89e6-b2f1634fa2a3.hr_rri.json,2024-05-10 10:30:54.718,2024-05-10 10:30:54.718,81e7ec70-9e23-48b4-89e6-b2f1634fa2a3.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-10 10:27:00.000,81e7ec70-9e23-48b4-89e6-b2f1634fa2a3,
2024-05-11 03:37:00.000,,a827fdd8-a109-4d8a-b51e-a798125d307b.hr_rri.json,2024-05-11 10:01:22.482,2024-05-11 10:01:22.482,a827fdd8-a109-4d8a-b51e-a798125d307b.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-11 10:01:00.000,a827fdd8-a109-4d8a-b51e-a798125d307b,
2024-05-12 02:56:00.000,,ab574b5b-27dd-4ff0-8273-3ea4574fb0f3.hr_rri.json,2024-05-12 10:51:14.109,2024-05-12 10:51:14.109,ab574b5b-27dd-4ff0-8273-3ea4574fb0f3.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-12 10:51:00.000,ab574b5b-27dd-4ff0-8273-3ea4574fb0f3,
2024-05-13 03:08:00.000,,10d199ad-0fe8-481a-a9d4-938b82863ae6.hr_rri.json,2024-05-13 09:57:14.177,2024-05-13 09:57:14.177,10d199ad-0fe8-481a-a9d4-938b82863ae6.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-13 09:57:00.000,10d199ad-0fe8-481a-a9d4-938b82863ae6,
2024-05-14 03:43:00.000,,90fc0a00-0c96-40c7-aee0-68e67ca74f7a.hr_rri.json,2024-05-14 11:02:52.019,2024-05-14 11:02:52.019,90fc0a00-0c96-40c7-aee0-68e67ca74f7a.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-14 10:32:00.000,90fc0a00-0c96-40c7-aee0-68e67ca74f7a,
2024-05-15 03:02:00.000,,32faae2c-0619-47fb-827d-75c2e072f6d7.hr_rri.json,2024-05-15 10:54:00.246,2024-05-15 10:54:00.246,32faae2c-0619-47fb-827d-75c2e072f6d7.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-15 10:29:00.000,32faae2c-0619-47fb-827d-75c2e072f6d7,
2024-05-16 03:11:00.000,,d4709d6d-b5a9-4b57-b886-4b1c1bf9ae51.hr_rri.json,2024-05-16 10:40:30.201,2024-05-16 10:40:30.201,d4709d6d-b5a9-4b57-b886-4b1c1bf9ae51.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-16 10:29:00.000,d4709d6d-b5a9-4b57-b886-4b1c1bf9ae51,
2024-05-17 03:27:00.000,,1ca14443-09a8-4eda-bf7f-8f9093aae2ff.hr_rri.json,2024-05-17 10:40:16.131,2024-05-17 10:40:16.131,1ca14443-09a8-4eda-bf7f-8f9093aae2ff.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-17 10:27:00.000,1ca14443-09a8-4eda-bf7f-8f9093aae2ff,
2024-05-18 03:12:00.000,,a9a4e9bc-4171-4fd1-8e41-689ee12f4b28.hr_rri.json,2024-05-18 12:10:09.327,2024-05-18 12:10:09.327,a9a4e9bc-4171-4fd1-8e41-689ee12f4b28.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-18 11:45:00.000,a9a4e9bc-4171-4fd1-8e41-689ee12f4b28,
2024-05-19 02:46:00.000,,de8ef1fb-858f-4b16-84cd-8dd8a3b89060.hr_rri.json,2024-05-19 10:27:02.470,2024-05-19 10:27:02.470,de8ef1fb-858f-4b16-84cd-8dd8a3b89060.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-19 10:01:00.000,de8ef1fb-858f-4b16-84cd-8dd8a3b89060,
2024-05-19 11:07:00.000,,4e2017f0-91e8-41e3-b326-17ccfa980ffa.hr_rri.json,2024-05-19 12:38:46.156,2024-05-19 12:38:46.156,4e2017f0-91e8-41e3-b326-17ccfa980ffa.temperature.json,UTC-0400,KccLfCO56W,com.sec.android.app.shealth,,2024-05-19 12:30:00.000,4e2017f0-91e8-41e3-b326-17ccfa980ffa,
