"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.030935200E1,3.621272346E1,-8.168114798E1,9.698172439E2,9.375842285E2,1.610000014E0,3.066000061E2,1.274210337E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.130945607E1,3.621273233E1,-8.168116224E1,9.700005834E2,9.377675781E2,1.659999967E0,3.067999878E2,1.291269801E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.230946648E1,3.621274179E1,-8.168117721E1,9.701696402E2,9.379366455E2,1.669999957E0,3.092000122E2,1.307455325E-1,3.790092468E0,2.500000000E0,2.700000000E1
7.330918685E1,3.621275083E1,-8.168119135E1,9.700412122E2,9.378082275E2,1.659999967E0,3.093999939E2,1.324433135E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.430878632E1,3.621276016E1,-8.168120633E1,9.701382475E2,9.379052734E2,1.720000029E0,3.077999878E2,1.341148479E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.530898138E1,3.621276875E1,-8.168122162E1,9.701711957E2,9.379382324E2,1.659999967E0,3.076000061E2,1.357544346E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.630897731E1,3.621277715E1,-8.168123664E1,9.703115659E2,9.380786133E2,1.679999948E0,3.056000061E2,1.375108276E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.730878179E1,3.621278682E1,-8.168125212E1,9.706693430E2,9.384364014E2,1.809999943E0,3.117000122E2,1.395184738E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.830936398E1,3.621279936E1,-8.168126822E1,9.709746295E2,9.387416992E2,2.029999971E0,3.141000061E2,1.416078407E-1,3.790092468E0,2.500000000E0,2.800000000E1
7.930882778E1,3.621281282E1,-8.168128447E1,9.703703699E2,9.381374512E2,2.029999971E0,3.167000122E2,1.436800737E-1,3.790092468E0,2.500000000E0,2.800000000E1
8.030933242E1,3.621282608E1,-8.168130070E1,9.700395479E2,9.378066406E2,2.029999971E0,3.147999878E2,1.456478340E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.130877778E1,3.621283801E1,-8.168131690E1,9.702527933E2,9.380198975E2,1.879999995E0,3.132000122E2,1.473552719E-1,3.790092468E0,2.500000000E0,2.700000000E1
8.230882231E1,3.621284805E1,-8.168133130E1,9.701022704E2,9.378693848E2,1.789999962E0,3.128999939E2,1.490659284E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.330879059E1,3.621285769E1,-8.168134616E1,9.702448380E2,9.380119629E2,1.889999986E0,3.091000061E2,1.507905839E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.430925413E1,3.621286735E1,-8.168136120E1,9.704750520E2,9.382421875E2,1.809999943E0,3.117000122E2,1.523903508E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.530955575E1,3.621287624E1,-8.168137522E1,9.706413018E2,9.384084473E2,1.750000000E0,3.102000122E2,1.540235389E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.630931575E1,3.621288554E1,-8.168138931E1,9.707245438E2,9.384916992E2,1.769999981E0,3.110000000E2,1.557318356E-1,3.790092468E0,2.500000000E0,2.600000000E1
8.730943700E1,3.621289672E1,-8.168140237E1,9.707504135E2,9.385175781E2,1.899999976E0,3.180000000E2,1.574575168E-1,3.790092468E0,2.500000000E0,2.400000000E1
8.830956731E1,3.621290821E1,-8.168141530E1,9.707738418E2,9.385410156E2,1.769999981E0,3.118999939E2,1.591316404E-1,3.790092468E0,2.500000000E0,2.400000000E1
8.930883288E1,3.621291886E1,-8.168142849E1,9.709295942E2,9.386967773E2,1.769999981E0,3.136000061E2,1.608036020E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.030885491E1,3.621292931E1,-8.168144189E1,9.709696238E2,9.387368164E2,1.740000010E0,3.125000000E2,1.624659647E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.130904418E1,3.621293961E1,-8.168145532E1,9.710487159E2,9.388159180E2,1.759999990E0,3.125000000E2,1.642585416E-1,3.790092468E0,2.500000000E0,2.600000000E1
9.230953476E1,3.621295071E1,-8.168146981E1,9.712048336E2,9.389720459E2,1.919999957E0,3.126000061E2,1.661723462E-1,3.790092468E0,2.500000000E0,2.600000000E1
