"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.556938770E-1,-3.576613367E-1,-9.796743989E-1,3.023780584E-1,1.085871102E0
4.578510650E-1,-3.442223072E-1,-9.466876984E-1,3.084867001E-1,1.053503982E0
4.600082520E-1,-3.258963525E-1,-9.185879230E-1,3.121519089E-1,1.023450546E0
4.621654400E-1,-3.075704277E-1,-8.904881477E-1,3.121519089E-1,9.924754523E-1
4.643225750E-1,-2.868010104E-1,-8.636100888E-1,3.133736253E-1,9.624345350E-1
4.664798150E-1,-2.684750557E-1,-8.538362384E-1,3.121519089E-1,9.479208784E-1
4.686369500E-1,-2.501491308E-1,-8.391754627E-1,3.121519089E-1,9.296391015E-1
4.707941900E-1,-2.342666388E-1,-8.245147467E-1,3.109301627E-1,9.118020572E-1
4.729513770E-1,-2.220493406E-1,-8.135191798E-1,3.084867001E-1,8.979328537E-1
4.751085130E-1,-2.073885947E-1,-8.025236130E-1,3.048215210E-1,8.831592938E-1
4.772657520E-1,-1.927278340E-1,-7.854194045E-1,3.011563420E-1,8.629732333E-1
4.794228880E-1,-1.780670881E-1,-7.780889869E-1,2.950477004E-1,8.509897208E-1
4.815800750E-1,-1.646280587E-1,-7.768672705E-1,2.913824916E-1,8.458894195E-1
4.837372630E-1,-1.499672979E-1,-7.658717036E-1,2.889390290E-1,8.321871300E-1
4.858944500E-1,-1.377500147E-1,-7.536544204E-1,2.864955962E-1,8.179546311E-1
4.880516380E-1,-1.267544478E-1,-7.328850031E-1,2.828303874E-1,7.957261751E-1
4.902088250E-1,-1.145371497E-1,-7.145590782E-1,2.779434621E-1,7.752199708E-1
4.923660130E-1,-1.059850380E-1,-6.901245117E-1,2.730565667E-1,7.497096495E-1
4.945231480E-1,-9.865466505E-2,-6.730202436E-1,2.645044625E-1,7.298298445E-1
4.966803880E-1,-9.254601598E-2,-6.571378112E-1,2.571740746E-1,7.117115797E-1
4.988375230E-1,-8.888082206E-2,-6.314814687E-1,2.498437017E-1,6.849018332E-1
5.009947630E-1,-8.765909821E-2,-6.168206930E-1,2.400698513E-1,6.676716396E-1
5.031519500E-1,-8.521563560E-2,-5.899426341E-1,2.302960157E-1,6.390072542E-1
5.053090860E-1,-8.155044913E-2,-5.752819180E-1,2.193004489E-1,6.210414220E-1
5.074662730E-1,-7.910698652E-2,-5.532907844E-1,2.119700760E-1,5.977624281E-1
5.096234610E-1,-7.910698652E-2,-5.374082923E-1,2.021962404E-1,5.796109968E-1
5.117806480E-1,-8.032871783E-2,-5.227475166E-1,1.924224049E-1,5.628001874E-1
5.139378360E-1,-7.910698652E-2,-5.031998754E-1,1.826485693E-1,5.411363320E-1
5.160950230E-1,-7.666353136E-2,-4.946477413E-1,1.753181964E-1,5.303679431E-1
5.182522110E-1,-7.788526267E-2,-4.873173833E-1,1.692095399E-1,5.217051031E-1
5.204093980E-1,-8.032871783E-2,-4.726566374E-1,1.618791670E-1,5.060255572E-1
5.225665860E-1,-8.155044913E-2,-4.641045034E-1,1.533270627E-1,4.955326972E-1
5.247237730E-1,-8.032871783E-2,-4.506655037E-1,1.447749585E-1,4.801165356E-1
5.268809610E-1,-8.277218044E-2,-4.421133697E-1,1.374445707E-1,4.703259248E-1
5.290381480E-1,-8.399390429E-2,-4.262309074E-1,1.276707351E-1,4.527997118E-1
5.311952830E-1,-8.888082206E-2,-4.152353406E-1,1.203403622E-1,4.413637858E-1
5.333524710E-1,-9.498947114E-2,-4.066832364E-1,1.142317131E-1,4.329701360E-1
5.355096580E-1,-1.023198515E-1,-3.944659233E-1,1.105665267E-1,4.222530917E-1
5.376668460E-1,-1.120936871E-1,-3.834703565E-1,1.069013327E-1,4.135727311E-1
5.398240330E-1,-1.194240674E-1,-3.712530732E-1,1.007926911E-1,4.028028287E-1
5.419812210E-1,-1.255327165E-1,-3.468184769E-1,9.590577334E-2,3.811029208E-1
5.441384080E-1,-1.304196268E-1,-3.333794475E-1,9.101885557E-2,3.693718548E-1
5.462955960E-1,-1.365282834E-1,-3.248273432E-1,8.491020650E-2,3.624396753E-1
5.484527830E-1,-1.414151937E-1,-3.199404180E-1,8.002328873E-2,3.588368081E-1
5.506099710E-1,-1.426369250E-1,-3.126100600E-1,7.391463965E-2,3.514736347E-1
5.527671580E-1,-1.426369250E-1,-3.016144931E-1,7.024945319E-2,3.409568602E-1
5.549243460E-1,-1.377500147E-1,-2.955058515E-1,6.780599058E-2,3.330111517E-1
